year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
1903,The Music Lover,0,NA,French,France,NA,7,Georges Méliès,Georges Méliès,"Short, Comedy, Music",movie,881,3,0,France,French,Short,Georges Méliès,NA
1909,The Princess Nicotine; or Smoke Fairy,0,Unrated,English,USA,NA,6.7,J. Stuart Blackton,"Paul Panzer, Gladys Hulette","Comedy, Short, Fantasy",movie,550,5,1,USA,English,Comedy,J. Stuart Blackton,NA
1912,Cleopatra,0,Unrated,English,USA,Victorien Sardou (adapted from the play by),5.2,Charles L. Gaskill,"Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson","Drama, History",movie,269,88,0,USA,English,Drama,Charles L. Gaskill,Victorien Sardou (adapted from the play by)
1912,The Invaders,0,Not Rated,English,USA,NA,6.2,"Francis Ford, Thomas H. Ince","Francis Ford, Ethel Grandin, Ann Little, Ray Myers","Short, Western",movie,176,41,0,USA,English,Short,Francis Ford,NA
1914,A Florida Enchantment,0,Unrated,English,USA,"Marguerite Bertsch, Archibald Clavering Gunter (novel), Eugene Mullin, Fergus Redmund (novel)",6.2,Sidney Drew,"Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew",Comedy,movie,100,63,0,USA,English,Comedy,Sidney Drew,Marguerite Bertsch
1916,Gretchen the Greenhorn,1,Not Rated,English,USA,Bernard McConville (story),7,"Chester M. Franklin, Sidney Franklin","Dorothy Gish, Ralph Lewis, Eugene Pallette, Elmo Lincoln","Crime, Drama, Romance",movie,390,58,0,USA,English,Crime,Chester M. Franklin,Bernard McConville (story)
1917,Rebecca of Sunnybrook Farm,1,NA,English,USA,"Frances Marion, Charlotte Thompson (play), Kate Douglas Wiggin (novel)",7.6,Marshall Neilan,"Mary Pickford, Eugene O'Brien, Helen Jerome Eddy, Charles Ogle","Comedy, Drama",movie,522,78,0,USA,English,Comedy,Marshall Neilan,Frances Marion
1917,The Poor Little Rich Girl,1,NA,English,USA,"Eleanor Gates (play), Frances Marion (scenario)",6.9,Maurice Tourneur,"Mary Pickford, Madlaine Traverse, Charles Wellesley, Gladys Fairbanks","Comedy, Drama, Family",movie,753,65,1,USA,English,Comedy,Maurice Tourneur,Eleanor Gates (play)
1917,"Raffles, the Amateur Cracksman",0,NA,English,USA,"E.W. Hornung (stories), Anthony Paul Kelly, Eugene Wiley Presbrey (play)",7,George Irving,"John Barrymore, Christine Mayo, H. Cooper Cliffe, Frank Morgan","Adventure, Crime, Romance",movie,43,70,0,USA,English,Adventure,George Irving,E.W. Hornung (stories)
1920,Pollyanna,1,TV-G,English,USA,"Eleanor H. Porter (based on the book by), Catherine Chisholm Cushing (based on: the 4-act comedy by), Frances Marion (adaptation)",7.1,Paul Powell,"Mary Pickford, Wharton James, Katherine Griffith, Helen Jerome Eddy","Family, Comedy, Drama",movie,183,58,0,USA,English,Family,Paul Powell,Eleanor H. Porter (based on the book by)
