,<=20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,>=71,
,,,,,,,,,,,,,
Wales ,0.576349,6.052813,10.792193,14.025258,12.3031,11.166475,11.882893,13.347876,11.84845,6.626866,1.104478,0.273249, 
Betsi Cadwaladr ,0.415671,5.434896,9.872181,12.09602,12.324639,11.534864,12.210329,14.496519,12.844227,7.149538,1.278188,0.342928, 
Hywel Dda ,2.384501,6.576006,9.947839,12.909836,11.363636,11.438152,11.997019,13.02161,12.146051,6.799553,1.229508,0.186289, 
Swansea Bay ,0.197899,6.317552,10.884457,14.994672,12.467651,11.112803,12.619881,13.685492,10.625666,5.967423,0.943827,0.182676, 
Cardiff and Vale ,0.232558,7.852257,12.708618,15.376197,12.804378,11.477428,11.20383,11.860465,9.781122,5.595075,0.807114,0.300958, 
Cwm Taf Morgannwg ,0.252695,5.50876,11.169137,15.313342,13.022237,10.731132,11.421833,12.971698,12.331536,6.351078,0.774933,0.151617, 
Aneurin Bevan ,0.358783,5.597015,10.878301,14.968427,12.485649,10.835247,11.509759,12.743972,12.313433,6.659013,1.334673,0.315729, 
Powys ,1.146132,4.202483,7.545368,9.837631,8.404967,9.073543,12.60745,16.332378,15.377268,12.225406,2.578797,0.668577, 
Public Health Wales ,0,1.020408,3.061224,10.204082,10.204082,14.285714,12.244898,21.428571,21.428571,6.122449,0,0, 
Velindre ,0.248139,2.729529,13.399504,12.655087,9.677419,9.677419,11.91067,15.384615,14.143921,8.684864,0.744417,0.744417, 
Welsh Ambulance Services ,0,0,6.746032,11.507937,11.111111,14.68254,15.079365,19.047619,12.698413,7.936508,0.793651,0.396825, 
Digital Health and Care Wales ,0,0,0,0,0,0,0,0,0,0,0,0, 
Health Education and Improvement Wales ,0,0,0,0,15.384615,0,38.461538,7.692308,15.384615,23.076923,0,0, 
NHS Wales Shared Services Partnership ,0,0,0,0,0,25,0,0,75,0,0,0, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
.,The data item is not applicable.,,,,,,,,,,,,
Metadata:,,,,,,,,,,,,,
Title,"Percent of NHS staff by organisation, staff group and age band",,,,,,,,,,,,
Last update,24-Jan-24,,,,,,,,,,,,
Next update,TBC,,,,,,,,,,,,
Publishing organisation,Welsh Government,,,,,,,,,,,,
Source 1,NHS electronic staff record,,,,,,,,,,,,
Source 2,"Workforce Services, NHS Wales Shared Services Partnership",,,,,,,,,,,,
Source 3,No drop down value selected,,,,,,,,,,,,
Contact email,stats.healthinfo@gov.wales,,,,,,,,,,,,
Designation,Management information,,,,,,,,,,,,
Lowest level of geographical disaggregation,Local health boards,,,,,,,,,,,,
Geographical coverage,Wales,,,,,,,,,,,,
Languages covered,English and Welsh,,,,,,,,,,,,
Data licensing,"You may use and re-use this data free of charge in any format or medium, under the terms of the Open Government License - see http://www.nationalarchives.gov.uk/doc/open-government-licence",,,,,,,,,,,,
General description,"Percent of NHS staff by organisation, staff group and age band",,,,,,,,,,,,
Data collection and calculation,Extracted from the NHS Electronic Staff Record system. Staff groups are determined from NHS occupational codes - see linked manual for more detail.,,,,,,,,,,,,
Frequency of publication,Annual,,,,,,,,,,,,
Data reference periods,From 30 September 2022,,,,,,,,,,,,
"Users, uses and context",See linked publication.,,,,,,,,,,,,
Rounding applied,Rounded to 1 decimal place.,,,,,,,,,,,,
Revisions information,There are no planned revisions.,,,,,,,,,,,,
Keywords,Staff; NHS,,,,,,,,,,,,
Weblinks,http://gov.wales/statistics-and-research/staff-directly-employed-nhs/?lang=en; http://www.hscic.gov.uk/article/2268/NHS-Occupation-Codes,,,,,,,,,,,,
Statistical quality,See linked publication.,,,,,,,,,,,,
