,All groups ,,,,,,,,,,,,All groups ,Medical and dental staff ,,,,,,,,,,,,Medical and dental staff ,"Nursing, midwifery and health visiting staff ",,,,,,,,,,,,"Nursing, midwifery and health visiting staff ","Scientific, therapeutic and technical staff ",,,,,,,,,,,,"Scientific, therapeutic and technical staff ",Administration and estates staff ,,,,,,,,,,,,Administration and estates staff ,Ambulance staff ,,,,,,,,,,,,Ambulance staff ,Other staff (1),,,,,,,,,,,,Other staff (1)
,<=20 ,21-25 ,26-30 ,31-35 ,36-40 ,41-45 ,46-50 ,51-55 ,56-60 ,61-65 ,66-70 ,>=71 ,.,<=20 ,21-25 ,26-30 ,31-35 ,36-40 ,41-45 ,46-50 ,51-55 ,56-60 ,61-65 ,66-70 ,>=71 ,.,<=20 ,21-25 ,26-30 ,31-35 ,36-40 ,41-45 ,46-50 ,51-55 ,56-60 ,61-65 ,66-70 ,>=71 ,.,<=20 ,21-25 ,26-30 ,31-35 ,36-40 ,41-45 ,46-50 ,51-55 ,56-60 ,61-65 ,66-70 ,>=71 ,.,<=20 ,21-25 ,26-30 ,31-35 ,36-40 ,41-45 ,46-50 ,51-55 ,56-60 ,61-65 ,66-70 ,>=71 ,.,<=20 ,21-25 ,26-30 ,31-35 ,36-40 ,41-45 ,46-50 ,51-55 ,56-60 ,61-65 ,66-70 ,>=71 ,.,<=20 ,21-25 ,26-30 ,31-35 ,36-40 ,41-45 ,46-50 ,51-55 ,56-60 ,61-65 ,66-70 ,>=71 ,.
Wales ,0.625421,6.263433,10.833249,12.958573,12.116376,11.337829,11.495568,13.273128,12.083168,7.061352,1.462083,0.489821, ,0,6.26073,16.630422,18.507497,14.673229,10.987753,11.147991,9.373927,7.657091,3.204761,0.995765,0.560833, ,0.576349,6.052813,10.792193,14.025258,12.3031,11.166475,11.882893,13.347876,11.84845,6.626866,1.104478,0.273249, ,0.378183,9.720891,14.237776,14.498775,13.444125,13.044636,10.354746,10.525194,8.527751,4.181315,0.846916,0.239693, ,0.935734,4.955646,8.324288,9.967436,11.445896,11.636786,12.026051,15.739043,14.174496,8.346746,1.837781,0.610098, ,0.819672,6.809584,10.655738,13.114754,10.56116,9.2686,13.808323,13.871375,12.673392,6.651955,1.67087,0.094578, ,1.035599,3.184466,4.673139,7.145631,7.909385,8.517799,9.721683,15.365696,19.66343,16.660194,4.10356,2.019417, 
Betsi Cadwaladr ,0.544694,5.281587,9.220893,10.971695,11.477483,11.58934,12.046494,14.643517,13.578446,8.107188,1.809163,0.729501, ,0,0.363636,9.636364,8.818182,13.181818,13.727273,16.909091,13.909091,13.272727,6.181818,2,2, ,0.415671,5.434896,9.872181,12.09602,12.324639,11.534864,12.210329,14.496519,12.844227,7.149538,1.278188,0.342928, ,0.599129,8.115468,12.336601,13.480392,12.826797,13.071895,11.465142,12.418301,9.340959,4.793028,1.089325,0.462963, ,0.839965,4.774536,6.94076,8.863837,9.836428,11.538462,12.400531,16.357206,16.114058,9.217507,2.431477,0.685234, ,0,0,0,0,0,50,0,50,0,0,0,0, ,0.709639,2.77942,4.316972,6.09107,6.80071,7.273802,8.279125,16.55825,20.638675,19.16026,4.553519,2.838557, 
Hywel Dda ,1.778421,5.701157,9.385636,11.640572,11.632063,11.844792,12.049013,13.648741,12.661675,7.445541,1.735875,0.476515, ,0,0.340716,8.858603,10.051107,16.183986,13.62862,14.480409,14.991482,11.413969,6.473595,3.06644,0.511073, ,2.384501,6.576006,9.947839,12.909836,11.363636,11.438152,11.997019,13.02161,12.146051,6.799553,1.229508,0.186289, ,0.2997,7.292707,11.788212,14.385614,13.936064,14.385614,11.238761,11.338661,8.891109,4.745255,1.148851,0.549451, ,2.175209,4.529201,7.061979,8.879619,10.309893,11.144219,12.067938,15.733015,15.196663,9.713945,2.264601,0.923719, ,0,0,0,0,11.111111,11.111111,33.333333,33.333333,11.111111,0,0,0, ,0.425532,3.617021,9.574468,7.234043,8.723404,8.93617,12.978723,13.404255,17.659574,12.12766,4.680851,0.638298, 
Swansea Bay ,0.354456,6.025752,9.975405,13.100405,12.427662,11.487269,12.160012,13.932292,12.058738,6.872106,1.208044,0.397859, ,0,0.260417,4.296875,9.114583,15.234375,16.015625,18.359375,16.015625,13.020833,5.598958,1.432292,0.651042, ,0.197899,6.317552,10.884457,14.994672,12.467651,11.112803,12.619881,13.685492,10.625666,5.967423,0.943827,0.182676, ,0.462072,10.12707,14.439738,16.942626,12.860993,12.398922,9.587986,11.474779,7.585676,3.619561,0.38506,0.115518, ,0.789379,4.843918,7.104413,8.503767,12.809473,11.625404,11.87657,15.679943,15.823466,8.683172,1.722282,0.538213, ,0,0,10,8,16,14,28,10,10,4,0,0, ,0.187793,1.690141,4.976526,7.042254,7.981221,7.981221,11.079812,15.774648,21.314554,16.619718,3.380282,1.971831, 
Cardiff and Vale ,0.55682,7.304514,11.71716,13.447491,12.729014,11.818944,11.280086,12.18417,10.747216,6.274698,1.436954,0.502934, ,0,0.192308,5.384615,11.057692,17.980769,16.538462,17.019231,13.942308,12.980769,3.653846,1.057692,0.192308, ,0.232558,7.852257,12.708618,15.376197,12.804378,11.477428,11.20383,11.860465,9.781122,5.595075,0.807114,0.300958, ,0.348606,10.532869,15.512948,14.442231,14.168327,13.172311,9.810757,8.814741,8.092629,4.133466,0.796813,0.174303, ,0.979399,5.234718,8.341776,10.300574,10.401891,10.030395,11.820331,16.717325,13.272543,9.017224,2.870652,1.013171, ,0,0,0,0,14.285714,28.571429,14.285714,0,28.571429,14.285714,0,0, ,2.340426,4.751773,7.304965,9.078014,9.219858,9.858156,10.425532,13.191489,16.453901,11.985816,3.758865,1.631206, 
Cwm Taf Morgannwg ,0.388088,5.361952,9.821004,12.711864,12.189134,11.365436,12.102012,14.097893,13.028671,7.397434,1.124663,0.411849, ,0,0.404313,5.929919,9.02965,13.746631,15.09434,18.598383,18.463612,12.668464,4.043127,1.212938,0.808625, ,0.252695,5.50876,11.169137,15.313342,13.022237,10.731132,11.421833,12.971698,12.331536,6.351078,0.774933,0.151617, ,0.25025,9.70971,15.165165,15.165165,13.663664,12.462462,10.560561,10.21021,8.058058,4.154154,0.500501,0.1001, ,0.4947,4.452297,7.314488,8.833922,10.706714,11.766784,13.533569,17.031802,15.229682,8.515901,1.484099,0.636042, ,0,0,0,0,0,0,0,0,0,0,0,0, ,1.310044,2.358079,2.09607,7.074236,7.947598,9.432314,10.742358,16.419214,20.349345,17.729258,3.056769,1.484716, 
Aneurin Bevan ,0.496278,5.445644,9.851787,12.963584,12.795922,11.340621,11.233318,13.137952,12.862987,7.752666,1.629669,0.489571, ,0,0.234467,8.206331,9.730363,16.881594,15.709261,17.584994,13.950762,10.550996,5.041032,1.172333,0.937866, ,0.358783,5.597015,10.878301,14.968427,12.485649,10.835247,11.509759,12.743972,12.313433,6.659013,1.334673,0.315729, ,0.277557,9.357653,14.353688,13.917526,13.917526,13.600317,9.952419,10.031721,9.000793,4.203013,1.268834,0.118953, ,0.859005,4.17654,7.020142,11.018957,13.033175,10.693128,10.900474,15.491706,14.57346,9.893365,1.74763,0.592417, ,0,0,0,0,0,0,0,0,0,0,0,0, ,1.06296,3.515944,3.515944,7.113655,8.91251,8.421913,8.503679,14.881439,20.932134,17.41619,4.088307,1.635323, 
Powys ,0.735294,4.207516,7.843137,10.00817,9.272876,10.498366,11.887255,16.421569,14.460784,11.723856,2.410131,0.531046, ,0,0,2.272727,9.090909,9.090909,9.090909,20.454545,25,15.909091,6.818182,2.272727,0, ,1.146132,4.202483,7.545368,9.837631,8.404967,9.073543,12.60745,16.332378,15.377268,12.225406,2.578797,0.668577, ,0.487805,7.073171,12.195122,13.902439,12.926829,11.463415,10.731707,13.170732,9.512195,7.317073,0.97561,0.243902, ,0.265252,3.183024,7.29443,9.28382,9.151194,12.466844,11.93634,17.108753,15.384615,11.405836,2.122016,0.397878, ,0,0,0,100,0,0,0,0,0,0,0,0, ,1.020408,3.061224,3.571429,5.102041,7.142857,8.673469,8.163265,19.387755,16.326531,20.918367,5.612245,1.020408, 
Public Health Wales ,0.255102,5.569728,13.690476,13.647959,13.520408,14.413265,11.777211,11.777211,10.756803,3.69898,0.722789,0.170068, ,0,0,6.666667,14.285714,15.238095,19.047619,15.238095,12.380952,10.47619,5.714286,0.952381,0, ,0,1.020408,3.061224,10.204082,10.204082,14.285714,12.244898,21.428571,21.428571,6.122449,0,0, ,0.118765,9.026128,19.477435,14.370546,12.826603,12.945368,10.213777,9.501188,9.144893,1.781473,0.593824,0, ,0.387597,3.875969,11.085271,13.333333,14.186047,15.193798,12.55814,12.635659,11.162791,4.651163,0.775194,0.155039, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,16,20,16,4,8,8,12,4,0,4,8, 
